AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
MQ,3189,N532MQ,CID,DFW,,685,1
MQ,3302,N649MQ,MLI,DFW,,691,1
MQ,3338,N925MQ,GSP,DFW,,862,1
,3350,N830MQ,RDU,JFK,64,427,0
,3355,N618MQ,CVG,MIA,123,948,0
,3251,N615MQ,MHK,DFW,,431,1
,3377,N631MQ,MOB,DFW,,539,1
,3441,N698MQ,TLH,DFW,,767,1
MQ,3540,N602MQ,PNS,MIA,73,530,0
MQ,3488,N620MQ,BHM,MIA,87,661,0
MQ,3597,N612MQ,CVG,DFW,,812,1
MQ,3611,N902MQ,CAE,DFW,,922,1
MQ,3678,N625MQ,TXK,DFW,,181,1
NK,188,N505NK,OAK,LAS,68,407,0
NK,925,N634NK,DFW,OAK,188,1457,0
NK,943,N605NK,ACY,RSW,141,982,0
NK,316,N601NK,DTW,LGA,67,502,0
NK,972,N606NK,DFW,FLL,131,1119,0
OO,2622,N492SW,SMF,LAX,61,373,0
OO,6360,N952SW,RAP,DEN,49,300,0
OO,6369,N763SK,TUS,SFO,108,751,0
OO,5330,N652BR,EAU,ORD,43,268,0
OO,5292,N971SW,DLH,ORD,58,397,0
OO,6276,N715SK,FSD,ORD,67,462,0
OO,6235,N114SY,AUS,SFO,213,1504,0
OO,3489,N227AG,FAT,SEA,110,748,0
OO,3461,N223AG,ONT,PDX,119,838,0
OO,7423,N427SW,INL,BRD,30,153,0
OO,5318,N946SW,CMX,ORD,,359,1
OO,5445,N579SW,SMF,SFO,,86,1
OO,5242,N744SK,BOI,LAX,89,674,0
OO,5462,N929EV,SPI,ORD,39,174,0
OO,5466,N568SW,CLD,LAX,24,86,0
OO,5550,N594SW,COD,DEN,58,391,0
OO,5574,N563SW,FAT,SFO,37,158,0
MQ,3221,N682MQ,CMH,MIA,137,990,0
,3224,N631MQ,LRD,DFW,,396,1
,5522,N796SK,PSC,DEN,115,852,0
,5592,N494CA,CPR,DEN,39,230,0
,5604,N292SW,ACV,SFO,69,250,0
,5170,N791SK,DAL,IAH,41,216,0
,5429,N958SW,PAH,ORD,66,342,0
,5435,N976SW,PSC,SFO,89,620,0
,6378,N767SK,CID,ORD,43,196,0
OO,6401,N740SK,EUG,SFO,69,451,0
OO,6332,N708SK,DFW,DEN,100,641,0
OO,6346,N291SW,MRY,SFO,21,77,0
OO,6465,N495CA,SLC,LAX,85,590,0
OO,7392,N438SW,ESC,DTW,47,306,0
OO,6403,N983SW,MFR,SFO,55,329,0
OO,6497,N913SW,FAT,DEN,132,844,0
UA,576,N817UA,SFO,EWR,292,2565,0
UA,1410,N76523,LAS,IAH,149,1222,0
UA,1689,N39461,EWR,SFO,355,2565,0
EV,6020,N11121,ISN,DEN,83,576,0
HA,113,N486HA,HNL,LIH,23,102,0
OO,5629,N726SK,PSP,SFO,65,421,0
OO,6420,N924SW,PSP,DEN,107,776,0
UA,223,N816UA,SAT,IAH,31,191,0
UA,996,N406UA,LAX,EWR,263,2454,0
UA,1721,N75425,LAX,SFO,54,337,0
EV,4390,N15986,CLE,IAD,44,288,0
EV,5732,N833AS,CAE,IAD,62,401,0
F9,756,N948FR,PHX,DEN,79,602,0
UA,234,N838UA,SMF,IAH,193,1609,0
UA,415,N509UA,JFK,SFO,368,2586,0
US,647,N664AW,BOS,PHX,355,2300,0
US,829,N723UW,BOS,CLT,120,728,0
US,1743,N839AW,DTW,MIA,147,1145,0
UA,1023,N73276,FLL,EWR,150,1065,0
WN,2505,N467WN,GEG,DEN,111,836,0
WN,239,N653SW,SAT,STL,91,786,0
WN,474,N614SW,ONT,DEN,116,819,0
UA,1245,N39726,CLE,EWR,55,404,0
US,560,N663AW,DFW,PHX,140,868,0
AA,310,N201AA,MFE,DFW,,469,1
AA,375,N4WLAA,STL,DFW,90,550,0
AA,378,N3BGAA,SJU,MIA,147,1045,0
AA,1291,N4XYAA,MKE,DFW,138,853,0
AS,320,N622AS,SEA,SFO,97,679,0
AS,602,N407AS,SEA,LAS,115,867,0
B6,233,N247JB,BTV,JFK,50,266,0
B6,601,N559JB,JFK,FLL,148,1069,0
B6,735,N821JB,SFO,LGB,59,354,0
B6,922,N809JB,PBI,BOS,163,1197,0
B6,1184,N641JB,MCO,JFK,129,944,0
B6,1434,N503JB,SJU,MCO,165,1189,0
DL,1065,N975DL,BDL,ATL,130,859,0
DL,1456,N3759,RDU,ATL,57,356,0
DL,1723,N336NB,SFO,SLC,88,599,0
EV,4642,N14143,TUS,IAH,117,936,0
EV,4928,N933EV,PIA,ATL,83,565,0
F9,609,N223FR,IND,DEN,150,977,0
F9,821,N920FR,MCI,DEN,93,533,0
F9,133,N951FR,DFW,DEN,91,641,0
MQ,2881,N907MQ,FSM,DFW,,227,1
MQ,2771,N667MQ,,DFW,,285,1
MQ,3288,N838MQ,,DFW,,113,1
MQ,3328,N640MQ,,DFW,,89,1
MQ,3408,N625MQ,,DFW,,229,1
MQ,3643,N923MQ,,DFW,,408,1
HA,286,N480HA,,OGG,22,100,0
OO,5181,N788SK,,LAX,165,1187,0
OO,6499,N945SW,,DEN,87,627,0
UA,1160,N76522,,IAH,199,1635,0
UA,1601,N37466,,FLL,143,1065,0
OO,6461,N959SW,,DEN,39,196,0
NK,606,N623NK,,DTW,155,1084,0
OO,7389,N561SW,,RKS,57,261,0
